49.111085;55.792351;160068@bristol.ru;г.Казань, ул.Баумана, 40
49.106324;55.798551;160021@bristol.ru;г.Казань, пр.А.Камалеева, 28/9
49.183543;55.767433;160080@bristol.ru;г.Казань, ул.Даурская, 37
49.178701;55.76096;160024@bristol.ru;г.Казань, ул.Карбышева, 15
49.113924;55.780426;160009@bristol.ru;г.Казань, ул.Татарстан, 7
49.223878;55.78691;160037@bristol.ru;г.Казань, ул.Бигичева, 15а
49.224093;55.790408;160035@bristol.ru;г.Казань, ул.Бигичева, 25а
49.239095;55.7586;160057@bristol.ru;г.Казань, ул.Ак.Завойского, 13
49.227516;55.788505;160079@bristol.ru;г.Казань, ул.Глушко, 41А
49.201438;55.738059;160091@bristol.ru;г.Казань, ул.Дубравная, 47а
49.213493;55.754;160025@bristol.ru;г.Казань, пр.Победы, 39
49.153064;55.768927;160060@bristol.ru;г.Казань, ул.Спартаковская, 165
49.106324;55.798551;160087@bristol.ru;г.Казань, ул.Б.Шахиди, 1/15
49.106324;55.798551;160065@bristol.ru;г.Казань, ул.Н.Назарбаева, 66
49.147808;55.732007;160174@bristol.ru;г.Казань, ул.Тульская, 28
49.230723;55.771707;160165@bristol.ru;г.Казань, ул.Фучика, 149
49.132609;55.834451;160022@bristol.ru;Казань, Амирхана, 71
49.151312;55.831787;160132@bristol.ru;Казань, Лаврентьева 9 а 
49.132744;55.825851;160048@bristol.ru;Казань, Амирхана,23
49.158453;55.836974;160172@bristol.ru;Казань, Гаврилова, 30
49.068631;55.822645;160031@bristol.ru;Казань, Баруди, 18
49.050045;55.821072;160141@bristolcapital.ru;Казань, Болотникова
49.100728;55.860342;160130@bristol.ru;Казань, Дементьева д.33а
49.065451;55.815999;160006@bristol.ru;Казань, Краснококшайская, 119
48.886956;55.819429;160085@bristol.ru;Казань, Бирюзовая 15б
49.153962;55.827596;160081@bristol.ru;Казань, просп. Ямашева, 100
49.099398;55.826534;160010@bristol.ru;Казань, просп. Ямашева, 17
49.063223;55.827798;160034@bristol.ru;Казань, Серова 17
49.055147;55.819853;160049@bristol.ru;Казань, Фрунзе, 19
49.152021;55.835144;160007@bristol.ru;Казань, Чуйкова, 62
49.048419;55.830129;160050@bristol.ru;Казань,Восстания,129
